id,too_much
1,0.780487804878
2,0.52
3,0.0
4,0.52
5,0.52
6,0.221153846154
7,0.711538461538
8,0.711538461538
9,0.0747663551402
10,0.52
11,0.0747663551402
12,0.0747663551402
13,0.711538461538
14,0.52
15,1.0
16,0.221153846154
17,0.780487804878
18,0.0
19,0.780487804878
20,0.52
21,0.411764705882
22,0.52
23,0.888888888889
24,0.411764705882
25,0.888888888889
26,0.428571428571
27,0.52
28,0.888888888889
29,0.84375
30,0.888888888889
31,0.428571428571
32,0.221153846154
33,0.428571428571
34,0.411764705882
35,0.52
36,0.52
37,0.0
38,0.0747663551402
39,0.221153846154
40,0.221153846154
41,0.0747663551402
42,0.888888888889
43,0.0747663551402
44,1.0
45,0.84375
46,0.0747663551402
47,0.711538461538
48,0.221153846154
49,0.0747663551402
50,0.221153846154
51,0.780487804878
52,0.428571428571
53,0.84375
54,0.0747663551402
55,0.428571428571
56,0.428571428571
57,0.888888888889
58,0.52
59,0.221153846154
60,0.52
61,0.52
62,0.428571428571
63,0.52
64,0.411764705882
65,0.84375
66,0.52
67,0.84375
68,0.711538461538
69,0.428571428571
70,0.711538461538
71,0.221153846154
72,0.428571428571
73,0.888888888889
74,0.0747663551402
75,0.221153846154
76,0.221153846154
77,0.52
78,0.84375
79,0.0747663551402
80,1.0
81,0.0747663551402
82,0.711538461538
83,0.428571428571
84,0.221153846154
85,0.411764705882
86,0.0747663551402
87,0.221153846154
88,0.428571428571
89,0.411764705882
90,0.0747663551402
91,0.221153846154
92,0.52
93,1.0
94,0.0
95,0.0747663551402
96,0.428571428571
97,0.0747663551402
98,0.84375
99,0.52
100,1.0
